type,statistic,day,A,B,C,D,E,F,G,total
area,avg,weekday,210.11636174613344,245.6760973203728,466.62979666332814,872.7521940628258,1340.0472764984358,2166.249643272394,5973.953641623447,11275.425011186939
area,avg,weekend,109.65550647971213,140.37755482408122,247.58284789649943,467.8140590396384,673.6477002995331,1084.1246026784413,3318.619999934331,6041.822271152237
area,max,weekday,240.7804531108691,267.93366484795024,494.65341128455634,916.1500817123311,1403.566185063204,2266.4446103296264,6290.751974591358,11851.586364054629
area,max,weekend,135.51183961099937,168.2828609860885,294.4426276446669,538.3890296015577,780.4214069112136,1220.718790000407,3604.6889182782584,6689.550887653964
area,min,weekday,174.49955287176505,212.6577446101559,414.38515372044566,781.2227888648243,1169.7817072039568,1894.0305043413289,5283.832366887556,9930.409818500031
area,min,weekend,89.4465986060562,118.92831144906351,203.78409560788631,390.7519446074421,568.0069185395255,927.1713682160478,2945.0897020790344,5243.178939105056
area,std,weekday,19.565249715182066,16.65103751573656,23.954917521515227,44.74683435893464,83.03444603579791,132.95719235841082,333.5301368095932,641.8258303570619
area,std,weekend,18.282110637436976,18.61961034055048,37.85427401697263,65.71592150636819,93.97943140673928,137.81592953571635,307.9395851858529,672.8580205543105
population,avg,weekday,1678309.4166666667,829746.6666666666,838309.0,930910.5,839598.75,854205.3333333334,1217014.1666666667,7188093.833333333
population,avg,weekend,1158655.8333333333,813396.1666666666,625122.3333333334,733855.3333333334,662269.3333333334,737739.8333333334,1226781.8333333333,5957820.666666667
population,max,weekday,1829947.0,915131.0,851854.0,976494.0,869344.0,901145.0,1252961.0,7321520.0
population,max,weekend,1313093.0,920594.0,681033.0,793616.0,717341.0,804000.0,1290289.0,6271663.0
population,min,weekday,1512273.0,765098.0,807041.0,886338.0,804967.0,800901.0,1193940.0,6935530.0
population,min,weekend,1013546.0,766778.0,558013.0,634928.0,609127.0,684583.0,1165515.0,5603576.0
population,std,weekday,94010.10820550419,51014.14578211408,11630.079418160793,36144.469468811105,20794.265049090296,33916.29028902921,17545.09016445307,120642.7083151156
population,std,weekend,120906.57047392696,58826.976473100054,45921.75852759416,58943.94497712778,52178.29725342393,49451.203736275886,43288.55040962525,284544.02605900314
